★06:45:22-139.224.119.176★收到★{"agent":"koyou","cp_order_id":"31908444292251014584081663aaef37a083","game_id":"502","order_id":"17151219080288732972645","order_status":"2","pay_time":"1715121908","player_id":"1646593297","product_id":"231","product_name":"\u5ba0\u7269\u793c\u5305\u5168","product_price":"18","sign":"53dbec424817796d97f8d8a9f6253294","ext":"cp=31908444292251014584081663aaef37a083|ResetType=0|GiftID=80|GiftType=1|id=231|payparam=0"}
★09:23:36-139.224.119.176★收到★{"agent":"mqaw","cp_order_id":"326111259042018119392435663ad3ff5f20d","game_id":"511","order_id":"17151313915657712682725","order_status":"2","pay_time":"1715131391","player_id":"1646821268","product_id":"233","product_name":"\u65b0\u624b\u597d\u793c1","product_price":"6","sign":"3a4ecfdfb122098490f966734117605b","ext":"cp=326111259042018119392435663ad3ff5f20d|ResetType=3|GiftID=93|GiftType=1|id=233|payparam=0"}
★09:33:24-139.224.119.176★收到★{"agent":"mqaw","cp_order_id":"326111259042018119398368663ad649c0393","game_id":"511","order_id":"17151319779264812682725","order_status":"2","pay_time":"1715131977","player_id":"1646821268","product_id":"244","product_name":"\u9650\u65f6\u793c\u5305","product_price":"1","sign":"97921d0beab41ab02120bf801ed770d0","ext":"cp=326111259042018119398368663ad649c0393|ResetType=3|GiftID=104|GiftType=1|id=244|payparam=0"}
★09:55:40-139.224.119.176★收到★{"agent":"mqaw","cp_order_id":"326111259042018119469284663adb89441d8","game_id":"511","order_id":"17151333214701612782725","order_status":"2","pay_time":"1715133321","player_id":"1646821278","product_id":"128","product_name":"\u7ae0\u8282\u793c\u53053","product_price":"3","sign":"52cea011be25fc51b3ed5ae3e2ef39fb","ext":"cp=326111259042018119469284663adb89441d8|ResetType=3|GiftID=7|GiftType=1|id=128|payparam=0"}
★09:56:18-139.224.119.176★收到★{"agent":"mqaw","cp_order_id":"326111259042018119464266663adbb57d4b5","game_id":"511","order_id":"17151333657113212782725","order_status":"2","pay_time":"1715133365","player_id":"1646821278","product_id":"233","product_name":"\u65b0\u624b\u597d\u793c1","product_price":"6","sign":"ab4bca4ba0e758921249354fd84d84e0","ext":"cp=326111259042018119464266663adbb57d4b5|ResetType=3|GiftID=93|GiftType=1|id=233|payparam=0"}
★10:00:22-139.224.119.176★收到★{"agent":"mqaw","cp_order_id":"326111259042018119491745663adca2df7d2","game_id":"511","order_id":"17151336032225412852725","order_status":"2","pay_time":"1715133603","player_id":"1646821285","product_id":"244","product_name":"\u9650\u65f6\u793c\u5305","product_price":"1","sign":"330726c139a1987e84e89cea748b7595","ext":"cp=326111259042018119491745663adca2df7d2|ResetType=3|GiftID=104|GiftType=1|id=244|payparam=0"}
★10:01:18-139.224.119.176★收到★{"agent":"mqaw","cp_order_id":"326111259042018119495077663adcde53d9d","game_id":"511","order_id":"17151336626083312852725","order_status":"2","pay_time":"1715133662","player_id":"1646821285","product_id":"128","product_name":"\u7ae0\u8282\u793c\u53053","product_price":"3","sign":"e106ac90032b89d0f8cbae8ec6a0d280","ext":"cp=326111259042018119495077663adcde53d9d|ResetType=3|GiftID=7|GiftType=1|id=128|payparam=0"}
★10:01:50-139.224.119.176★收到★{"agent":"mqaw","cp_order_id":"326111259042018119496259663adcfb78165","game_id":"511","order_id":"17151336916827912852725","order_status":"2","pay_time":"1715133691","player_id":"1646821285","product_id":"233","product_name":"\u65b0\u624b\u597d\u793c1","product_price":"6","sign":"c2155a588eb9d46aa8b38e663e83ce3f","ext":"cp=326111259042018119496259663adcfb78165|ResetType=3|GiftID=93|GiftType=1|id=233|payparam=0"}
★10:04:14-139.224.119.176★收到★{"agent":"mqaw","cp_order_id":"326111259042018119599535663add92dacca","game_id":"511","order_id":"17151338430302613112725","order_status":"2","pay_time":"1715133843","player_id":"1646821311","product_id":"244","product_name":"\u9650\u65f6\u793c\u5305","product_price":"1","sign":"dcadfc9cf6b8555f5379a2644568b582","ext":"cp=326111259042018119599535663add92dacca|ResetType=3|GiftID=104|GiftType=1|id=244|payparam=0"}
★10:12:50-139.224.119.176★收到★{"agent":"mqaw","cp_order_id":"326111259042018119634068663adf90eccc3","game_id":"511","order_id":"17151343531781513162725","order_status":"2","pay_time":"1715134353","player_id":"1646821316","product_id":"244","product_name":"\u9650\u65f6\u793c\u5305","product_price":"1","sign":"9d1a529ed85e018911875d8a5ff0e36c","ext":"cp=326111259042018119634068663adf90eccc3|ResetType=3|GiftID=104|GiftType=1|id=244|payparam=0"}
★10:13:20-139.224.119.176★收到★{"agent":"mqaw","cp_order_id":"326111259042018119639834663adfb1e831c","game_id":"511","order_id":"17151343860781413162725","order_status":"2","pay_time":"1715134386","player_id":"1646821316","product_id":"233","product_name":"\u65b0\u624b\u597d\u793c1","product_price":"6","sign":"4acf138073da5fd95c76102de8d1797f","ext":"cp=326111259042018119639834663adfb1e831c|ResetType=3|GiftID=93|GiftType=1|id=233|payparam=0"}
