★09:19:13-60.186.195.178★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"261925979e31897ad-b700-41b6-9929-db7c1f3dfc77","app":"0.0.2.45","res":"0.0.2.45","acc":"yc_164526385","si":"3189","fee":"68","char_id":"2814754062074628","sku":"com.game.yx.ky.736430079244417834"}
★10:19:04-60.186.195.178★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"42065031608e7c155e-f7bb-40d6-aa46-6c03972cf959","app":"0.0.2.56","res":"0.0.2.56","acc":"yc_164286654","si":"3223","fee":"12","char_id":"2814754062074177","sku":"com.game.yx.ky.736430079244417834"}
★10:19:21-60.186.195.178★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"42065031608e7c155e-f7bb-40d6-aa46-6c03972cf959","app":"0.0.2.56","res":"0.0.2.56","acc":"yc_164286654","si":"3223","fee":"0","char_id":"2814754062074177","sku":"com.game.yx.ky.736430079244417834"}
★10:19:24-60.186.195.178★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"42065031608e7c155e-f7bb-40d6-aa46-6c03972cf959","app":"0.0.2.56","res":"0.0.2.56","acc":"yc_164286654","si":"3223","fee":"68","char_id":"2814754062074177","sku":"com.game.yx.ky.736430079244417834"}
★10:19:57-60.186.195.178★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"42065031608e7c155e-f7bb-40d6-aa46-6c03972cf959","app":"0.0.2.56","res":"0.0.2.56","acc":"yc_164286654","si":"3223","fee":"6","char_id":"2814754062074177","sku":"com.game.yx.ky.736430079244417834"}
★10:20:01-60.186.195.178★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"42065031608e7c155e-f7bb-40d6-aa46-6c03972cf959","app":"0.0.2.56","res":"0.0.2.56","acc":"yc_164286654","si":"3223","fee":"30","char_id":"2814754062074177","sku":"com.game.yx.ky.736430079244417834"}
★10:20:05-60.186.195.178★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"42065031608e7c155e-f7bb-40d6-aa46-6c03972cf959","app":"0.0.2.56","res":"0.0.2.56","acc":"yc_164286654","si":"3223","fee":"128","char_id":"2814754062074177","sku":"com.game.yx.ky.736430079244417834"}
★10:20:11-60.186.195.178★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"42065031608e7c155e-f7bb-40d6-aa46-6c03972cf959","app":"0.0.2.56","res":"0.0.2.56","acc":"yc_164286654","si":"3223","fee":"68","char_id":"2814754062074177","sku":"com.game.yx.ky.736430079244417834"}
★10:20:15-60.186.195.178★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"42065031608e7c155e-f7bb-40d6-aa46-6c03972cf959","app":"0.0.2.56","res":"0.0.2.56","acc":"yc_164286654","si":"3223","fee":"68","char_id":"2814754062074177","sku":"com.game.yx.ky.736430079244417834"}
★10:20:20-60.186.195.178★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"42065031608e7c155e-f7bb-40d6-aa46-6c03972cf959","app":"0.0.2.56","res":"0.0.2.56","acc":"yc_164286654","si":"3223","fee":"68","char_id":"2814754062074177","sku":"com.game.yx.ky.736430079244417834"}
★10:20:24-60.186.195.178★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"42065031608e7c155e-f7bb-40d6-aa46-6c03972cf959","app":"0.0.2.56","res":"0.0.2.56","acc":"yc_164286654","si":"3223","fee":"68","char_id":"2814754062074177","sku":"com.game.yx.ky.736430079244417834"}
