★11:35:17-183.6.107.145★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"23426017583106af5a-8b66-4f35-8111-bf1627754944","app":"0.0.3.80","res":"0.0.3.80","acc":"yc_1646312714","si":"3185","fee":"6","char_id":"2814754062075317","sku":"com.test.yx.ky.736430079244417834"}
★12:04:07-120.231.31.91★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"3341843600683c9889-d6ad-4f62-a394-94aca6a7d898","app":"0.0.3.80","res":"0.0.3.80","acc":"yc_1646319083","si":"3185","fee":"6","char_id":"2814754062075424","sku":"com.test.yx.ky.736430079244417834"}
★12:07:53-120.231.31.91★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"3341843600683c9889-d6ad-4f62-a394-94aca6a7d898","app":"0.0.3.80","res":"0.0.3.80","acc":"yc_1646319083","si":"3185","fee":"6","char_id":"2814754062075424","sku":"com.test.yx.ky.736430079244417834"}
★13:54:08-115.192.208.39★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"4206503160def6dea0-aa1a-4fe1-b0cc-ae965b62fcd8","app":"0.0.3.80","res":"0.0.3.80","acc":"yc_164286654","si":"3185","fee":"6","char_id":"2814754062073956","sku":"com.test.yx.ky.736430079244417834"}
★14:16:15-114.95.177.57★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"30564020668bfbdcde-fff6-4d6f-8d0b-b8fdb598584f","app":"0.0.3.80","res":"0.0.3.80","acc":"yc_1646318999","si":"3185","fee":"12","char_id":"2814754062075421","sku":"com.test.yx.ky.736430079244417834"}
★18:12:46-183.14.133.226★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"367355472595493844-5e59-40fa-a7c5-96edd16c8bdd","app":"0.0.3.80","res":"0.0.3.80","acc":"yc_1646319357","si":"3185","fee":"12","char_id":"2814754062075426","sku":"com.test.yx.ky.736430079244417834"}
★18:13:16-183.14.133.226★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"367355472595493844-5e59-40fa-a7c5-96edd16c8bdd","app":"0.0.3.80","res":"0.0.3.80","acc":"yc_1646319357","si":"3185","fee":"648","char_id":"2814754062075426","sku":"com.test.yx.ky.736430079244417834"}
★18:15:23-183.14.133.226★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"367355472595493844-5e59-40fa-a7c5-96edd16c8bdd","app":"0.0.3.80","res":"0.0.3.80","acc":"yc_1646319357","si":"3185","fee":"648","char_id":"2814754062075426","sku":"com.test.yx.ky.736430079244417834"}
★18:15:34-183.14.133.226★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"367355472595493844-5e59-40fa-a7c5-96edd16c8bdd","app":"0.0.3.80","res":"0.0.3.80","acc":"yc_1646319357","si":"3185","fee":"12","char_id":"2814754062075426","sku":"com.test.yx.ky.736430079244417834"}
★18:53:09-183.14.133.226★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"367355472595493844-5e59-40fa-a7c5-96edd16c8bdd","app":"0.0.3.80","res":"0.0.3.80","acc":"yc_1646319357","si":"3185","fee":"45","char_id":"2814754062075426","sku":"com.test.yx.ky.736430079244417834"}
★18:53:12-183.14.133.226★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"367355472595493844-5e59-40fa-a7c5-96edd16c8bdd","app":"0.0.3.80","res":"0.0.3.80","acc":"yc_1646319357","si":"3185","fee":"128","char_id":"2814754062075426","sku":"com.test.yx.ky.736430079244417834"}
★21:12:20-117.9.34.164★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"3899177778e8c48800-d0dc-46a0-abd2-133ca9b68def","app":"0.0.3.80","res":"0.0.3.80","acc":"yc_1646318989","si":"3185","fee":"45","char_id":"2814754062075420","sku":"com.test.yx.ky.736430079244417834"}
