★00:05:18-120.242.222.117★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2326601787a6a91b61-14de-44f3-a8ce-eaf367b171d8","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646629868","si":"3233","fee":"6","char_id":"844437815040286","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★00:11:48-42.238.106.189★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"853533c17415d3-a153-4fcb-8b0b-744595fd95ab","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646597508","si":"3191","fee":"3","char_id":"844433520068807","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★01:33:35-175.167.155.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"7579973163725ad5e-d97a-4d7f-98c8-791a47658b4b","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646596674","si":"3190","fee":"1","char_id":"844429225102555","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★01:42:40-182.118.232.158★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3651852126cf6b0842-badc-4cd2-982d-845864957262","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646592972","si":"3190","fee":"6","char_id":"844429225101396","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★01:43:15-182.118.232.158★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3651852126cf6b0842-badc-4cd2-982d-845864957262","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646592972","si":"3190","fee":"30","char_id":"844429225101396","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★06:46:04-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"6","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★06:47:33-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"328","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★06:48:52-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"68","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★06:49:29-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"68","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★06:50:18-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"3","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★06:52:03-223.198.115.101★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"14822754011f8d8255-be6a-4b1a-9355-1ac592be9020","app":"0.0.5.9","res":"0.0.5.9","acc":"yc_1646598825","si":"3233","fee":"6","char_id":"844437815042350","sku":"com.wjgame.yxzd.tf.736430079244417834"}
