★00:34:37-223.104.69.215★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2135250809b1b088a3-06e0-4225-a64d-e99d2e67da39","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646607921","si":"3233","fee":"30","char_id":"844437815038140","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★01:34:24-218.56.100.45★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"266335905614faa4a5-20e1-4ac6-b68d-924bc1f67bd8","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646596257","si":"3233","fee":"1","char_id":"844437815044355","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★03:24:34-115.60.115.182★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3651852126cf6b0842-badc-4cd2-982d-845864957262","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646592972","si":"3190","fee":"3","char_id":"844429225101396","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★03:25:08-115.60.115.182★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3651852126cf6b0842-badc-4cd2-982d-845864957262","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646592972","si":"3190","fee":"3","char_id":"844429225101396","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★03:25:31-115.60.115.182★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3651852126cf6b0842-badc-4cd2-982d-845864957262","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646592972","si":"3190","fee":"6","char_id":"844429225101396","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★03:37:44-115.60.115.182★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3651852126cf6b0842-badc-4cd2-982d-845864957262","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646592972","si":"3190","fee":"6","char_id":"844429225101396","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★04:09:33-111.55.101.216★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"78368415aede36b3-c690-43ad-b06d-6ed42daab6c6","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646594871","si":"3190","fee":"6","char_id":"844429225101809","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★07:58:30-223.104.153.80★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"398269454772f4a5b0-f889-457c-b1d6-ea89e1528789","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646592096","si":"3190","fee":"3","char_id":"844429225101299","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★08:48:50-157.122.162.56★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"238114603466a934e8-31b9-4030-9530-3861020e8b75","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646596702","si":"3190","fee":"128","char_id":"844429225102573","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★08:49:00-157.122.162.56★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"238114603466a934e8-31b9-4030-9530-3861020e8b75","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646596702","si":"3190","fee":"128","char_id":"844429225102573","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★10:49:12-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"30","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★10:51:20-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★10:51:24-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★10:51:27-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"6","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
★10:51:29-220.202.238.113★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"344504688257a64e9b-78a9-4f41-8f8f-401c86d92de7","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646602477","si":"3185","fee":"30","char_id":"2814754062074941","sku":"com.test.yx.ky.736430079244417834"}
