★00:01:04-121.32.145.135★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"17112997ad1a769-8fe3-4c95-a4cc-f3ea516b33f3","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646597226","si":"3191","fee":"18","char_id":"844433520068655","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★00:05:47-157.122.162.56★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"238114603466a934e8-31b9-4030-9530-3861020e8b75","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646596702","si":"3190","fee":"68","char_id":"844429225102573","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:04:41-171.221.106.208★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:05:31-171.221.106.208★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646593297","si":"3190","fee":"68","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:06:41-171.221.106.208★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:07:10-171.218.188.121★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:37:38-113.214.197.48★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2062918956802a2443-fd53-4731-908b-96641d6d4100","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646596999","si":"3190","fee":"3","char_id":"844429225102739","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:31:22-36.161.155.143★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2630120286f9136906-cc15-4714-be17-8df4425abb80","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646597717","si":"3191","fee":"68","char_id":"844433520068942","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:21:40-175.167.132.244★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"521344401ecf48bf0-a898-45fb-a434-c7672bbd1257","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646593655","si":"3190","fee":"3","char_id":"844429225101509","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★16:00:31-157.122.162.56★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"238114603466a934e8-31b9-4030-9530-3861020e8b75","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646596702","si":"3190","fee":"30","char_id":"844429225102573","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★17:25:16-171.218.172.233★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646593297","si":"3190","fee":"68","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
