★05:54:30-1.198.210.62★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"55990422a378c5cf-319a-4cb1-addb-97a260c2b95f","app":"0.0.6.5","res":"0.0.6.5","acc":"yc_1646602166","si":"3233","fee":"18","char_id":"844437815035969","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:42:05-183.14.135.190★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"8366863864d389713-b869-4e1c-9f95-30f1e8534e5a","app":"0.0.6.5","res":"0.0.6.5","acc":"yc_1646683358","si":"3190","fee":"3","char_id":"844429225112885","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:42:05-183.14.135.190★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"8366863864d389713-b869-4e1c-9f95-30f1e8534e5a","app":"0.0.6.5","res":"0.0.6.5","acc":"yc_1646683358","si":"3190","fee":"3","char_id":"844429225112885","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:42:05-183.14.135.190★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"8366863864d389713-b869-4e1c-9f95-30f1e8534e5a","app":"0.0.6.5","res":"0.0.6.5","acc":"yc_1646683358","si":"3190","fee":"3","char_id":"844429225112885","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:42:05-183.14.135.190★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"8366863864d389713-b869-4e1c-9f95-30f1e8534e5a","app":"0.0.6.5","res":"0.0.6.5","acc":"yc_1646683358","si":"3190","fee":"3","char_id":"844429225112885","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:42:06-183.14.135.190★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"8366863864d389713-b869-4e1c-9f95-30f1e8534e5a","app":"0.0.6.5","res":"0.0.6.5","acc":"yc_1646683358","si":"3190","fee":"3","char_id":"844429225112885","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:44:32-183.14.135.190★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"8366863864d389713-b869-4e1c-9f95-30f1e8534e5a","app":"0.0.6.5","res":"0.0.6.5","acc":"yc_1646683358","si":"3190","fee":"3","char_id":"844429225112885","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:44:32-183.14.135.190★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"8366863864d389713-b869-4e1c-9f95-30f1e8534e5a","app":"0.0.6.5","res":"0.0.6.5","acc":"yc_1646683358","si":"3190","fee":"3","char_id":"844429225112885","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:44:32-183.14.135.190★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"8366863864d389713-b869-4e1c-9f95-30f1e8534e5a","app":"0.0.6.5","res":"0.0.6.5","acc":"yc_1646683358","si":"3190","fee":"3","char_id":"844429225112885","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★15:28:53-116.169.5.170★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"1972605a878e19-3bda-47f9-bec8-789260e8620e","app":"0.0.6.5","res":"0.0.6.5","acc":"yc_1646599884","si":"3191","fee":"30","char_id":"844433520069820","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★16:19:40-113.117.141.9★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3412612334f1d0e185-a8b0-4204-b1e7-df75fc4348de","app":"0.0.6.5","res":"0.0.6.5","acc":"yc_1646597863","si":"3191","fee":"3","char_id":"844433520069022","sku":"com.wjgame.yxzd.tf.736430079244417834"}
