★10:56:44-117.67.136.21★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"115134942748a41693-b242-4e19-8ae7-a56023a68949","app":"0.0.6.13","res":"0.0.6.13","acc":"yc_1646593843","si":"3190","fee":"50","char_id":"844429225101534","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:09:56-106.6.60.123★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"295161784202d0241b-40c7-42a5-b2cd-3ee41d954fa5","app":"0.0.6.13","res":"0.0.6.13","acc":"yc_1646594308","si":"3190","fee":"50","char_id":"844429225101661","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★12:56:09-120.231.31.246★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"33418436000dac771d-8a82-4305-8c24-e01825c00e13","app":"0.0.6.14","res":"0.0.6.14","acc":"yc_1646624701","si":"3233","fee":"1","char_id":"844437815038265","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★13:12:14-36.27.112.40★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"1921636908d5ff8042-e986-4cdb-8219-ab8e2f4f69fb","app":"0.0.6.13","res":"0.0.6.13","acc":"yc_1646725022","si":"3185","fee":"1","char_id":"2814754062076064","sku":"com.test.yx.ky.736430079244417834"}
★14:01:34-111.55.113.159★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2480987550dddd1e43-cca0-4587-93c7-c608338c1aa4","app":"0.0.6.13","res":"0.0.6.13","acc":"yc_1646596875","si":"3191","fee":"50","char_id":"844433520068641","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★19:59:07-112.17.238.210★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"213532595016965c65-098d-45b5-8d61-0e90f6ae1810","app":"0.0.6.15","res":"0.0.6.15","acc":"yc_1646235186","si":"3185","fee":"6","char_id":"2814754062075151","sku":"com.test.yx.ky.736430079244417834"}
★21:57:16-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.14","res":"0.0.6.14","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★21:57:30-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.14","res":"0.0.6.14","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★21:57:54-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.14","res":"0.0.6.14","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★21:58:12-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.14","res":"0.0.6.14","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★21:58:58-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.14","res":"0.0.6.14","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★21:59:15-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.14","res":"0.0.6.14","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★22:03:20-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.14","res":"0.0.6.14","acc":"yc_1646593297","si":"3190","fee":"18","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★23:48:46-113.127.66.246★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"42813727630c625d7d-cbad-43e2-a693-54541c6ac035","app":"0.0.6.15","res":"0.0.6.15","acc":"yc_1646594301","si":"3190","fee":"78","char_id":"844429225101659","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★23:50:47-113.127.66.246★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"42813727630c625d7d-cbad-43e2-a693-54541c6ac035","app":"0.0.6.15","res":"0.0.6.15","acc":"yc_1646594301","si":"3190","fee":"128","char_id":"844429225101659","sku":"com.wjgame.yxzd.tf.736430079244417834"}
