★00:14:59-183.158.189.174★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"302224465609fbb8a7-fc06-457d-b0ed-dfae2a63c0fe","app":"0.0.6.15","res":"0.0.6.15","acc":"yc_1646724027","si":"3185","fee":"3","char_id":"2814754062075964","sku":"com.test.yx.ky.736430079244417834"}
★00:38:28-112.115.41.240★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"21352968113e1b422e-6489-4682-abb1-638db4c7bec3","app":"0.0.6.15","res":"0.0.6.15","acc":"yc_1646601952","si":"3233","fee":"50","char_id":"844437815035953","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★04:27:06-115.153.99.15★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2463589324bb80e9f-21cc-4797-a71d-2637b80317ca","app":"0.0.6.15","res":"0.0.6.15","acc":"yc_1646591796","si":"3190","fee":"12","char_id":"844429225101276","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★06:54:00-106.7.127.2★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"120487459198262f85-012a-49cd-aa16-41ac6a8b2eda","app":"0.0.6.15","res":"0.0.6.15","acc":"yc_1646606567","si":"3233","fee":"3","char_id":"844437815038235","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:13:56-157.122.162.59★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"238114603466a934e8-31b9-4030-9530-3861020e8b75","app":"0.0.6.15","res":"0.0.6.15","acc":"yc_1646596702","si":"3190","fee":"128","char_id":"844429225102573","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:55:12-36.21.154.121★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"594070475f7db2801-d92d-499a-871e-891c00da6570","app":"0.0.6.15","res":"0.0.6.15","acc":"yc_1646597164","si":"3191","fee":"128","char_id":"844433520068623","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:55:33-36.21.154.121★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"594070475f7db2801-d92d-499a-871e-891c00da6570","app":"0.0.6.15","res":"0.0.6.15","acc":"yc_1646597164","si":"3191","fee":"128","char_id":"844433520068623","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:02:37-171.221.121.197★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.16","res":"0.0.6.16","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:03:00-171.221.121.197★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.16","res":"0.0.6.16","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:03:19-171.221.121.197★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.16","res":"0.0.6.16","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:03:41-171.221.121.197★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.16","res":"0.0.6.16","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:04:00-171.221.121.197★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.16","res":"0.0.6.16","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:04:22-171.221.121.197★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.16","res":"0.0.6.16","acc":"yc_1646593297","si":"3190","fee":"18","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★14:06:15-171.221.121.197★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.16","res":"0.0.6.16","acc":"yc_1646593297","si":"3190","fee":"128","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★18:04:25-120.253.194.66★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"4","pi":"11","code":"1580285469c3b2d346-79aa-41a0-a34a-ce5c4f444a2d","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646727985","si":"3257","fee":"6","char_id":"2814754062075146","sku":"com.hnxm.yixzd.736430079244417834"}
★18:04:46-120.253.194.66★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"4","pi":"11","code":"1580285469c3b2d346-79aa-41a0-a34a-ce5c4f444a2d","app":"0.0.6.3","res":"0.0.6.3","acc":"yc_1646727985","si":"3257","fee":"648","char_id":"2814754062075146","sku":"com.hnxm.yixzd.736430079244417834"}
★19:16:49-223.104.250.148★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2135296712028eb9c7-8a8a-4896-bba0-7253b39f415e","app":"0.0.6.16","res":"0.0.6.16","acc":"yc_1646593556","si":"3190","fee":"50","char_id":"844429225101493","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:11:53-39.144.124.123★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"213532595016965c65-098d-45b5-8d61-0e90f6ae1810","app":"0.0.6.17","res":"0.0.6.17","acc":"yc_1646235186","si":"3185","fee":"6","char_id":"2814754062075151","sku":"com.test.yx.ky.736430079244417834"}
★20:12:32-39.144.124.123★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"213532595016965c65-098d-45b5-8d61-0e90f6ae1810","app":"0.0.6.17","res":"0.0.6.17","acc":"yc_1646235186","si":"3185","fee":"6","char_id":"2814754062075151","sku":"com.test.yx.ky.736430079244417834"}
★20:12:46-39.144.124.123★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"213532595016965c65-098d-45b5-8d61-0e90f6ae1810","app":"0.0.6.17","res":"0.0.6.17","acc":"yc_1646235186","si":"3185","fee":"68","char_id":"2814754062075151","sku":"com.test.yx.ky.736430079244417834"}
★20:13:47-39.144.124.123★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"213532595016965c65-098d-45b5-8d61-0e90f6ae1810","app":"0.0.6.17","res":"0.0.6.17","acc":"yc_1646235186","si":"3185","fee":"6","char_id":"2814754062075151","sku":"com.test.yx.ky.736430079244417834"}
★22:04:53-223.104.250.148★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"2135296712028eb9c7-8a8a-4896-bba0-7253b39f415e","app":"0.0.6.16","res":"0.0.6.16","acc":"yc_1646593556","si":"3190","fee":"68","char_id":"844429225101493","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★22:26:59-1.198.212.22★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"55990422a378c5cf-319a-4cb1-addb-97a260c2b95f","app":"0.0.6.17","res":"0.0.6.17","acc":"yc_1646602166","si":"3233","fee":"6","char_id":"844437815035969","sku":"com.wjgame.yxzd.tf.736430079244417834"}
