★00:17:04-125.73.84.125★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"18674853539654348f-0eec-4c79-8a63-188ffae6d822","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646592578","si":"3190","fee":"18","char_id":"844429225101355","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★00:22:14-49.93.145.142★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"42813727630c625d7d-cbad-43e2-a693-54541c6ac035","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646594301","si":"3190","fee":"30","char_id":"844429225101659","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★00:22:26-49.93.145.142★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"42813727630c625d7d-cbad-43e2-a693-54541c6ac035","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646594301","si":"3190","fee":"18","char_id":"844429225101659","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★02:00:38-1.198.212.22★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"55990422a378c5cf-319a-4cb1-addb-97a260c2b95f","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646602166","si":"3233","fee":"18","char_id":"844437815035969","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:25:07-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"18","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:25:41-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:26:03-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:26:25-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:26:59-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:27:20-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:36:06-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"78","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:36:27-171.221.124.155★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"128","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★08:28:19-111.55.113.99★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3837244384197d43a-91f6-46eb-bade-6dd3d181ac9d","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593376","si":"3233","fee":"30","char_id":"844437815042317","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★08:44:16-157.122.162.59★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"238114603466a934e8-31b9-4030-9530-3861020e8b75","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646596702","si":"3190","fee":"18","char_id":"844429225102573","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★10:04:53-106.61.180.42★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"1944670527c0d436d-e649-4eb2-ab2a-b69c8edc529e","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646737641","si":"3233","fee":"6","char_id":"844437815050370","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:19:10-223.104.154.8★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"21352956237f77e9ef-9e81-4eaa-b393-afb535dc4522","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646596907","si":"3190","fee":"3","char_id":"844429225102697","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★16:54:18-115.60.115.138★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3651852126cf6b0842-badc-4cd2-982d-845864957262","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646592972","si":"3190","fee":"18","char_id":"844429225101396","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★16:54:36-115.60.115.138★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"3651852126cf6b0842-badc-4cd2-982d-845864957262","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646592972","si":"3190","fee":"18","char_id":"844429225101396","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★17:42:08-223.104.218.221★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"1112286984f402333b-d781-40d0-979f-567b9a300386","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646639852","si":"3233","fee":"45","char_id":"844437815042328","sku":"com.wjgame.yxzd.tf.736430079244417834"}
