★00:46:51-120.227.77.248★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"78368415aede36b3-c690-43ad-b06d-6ed42daab6c6","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646594871","si":"3190","fee":"50","char_id":"844429225101809","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★01:30:43-112.91.162.171★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"238114603466a934e8-31b9-4030-9530-3861020e8b75","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646596702","si":"3190","fee":"18","char_id":"844429225102573","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:33:15-171.221.123.255★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:33:57-171.221.123.255★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:34:22-171.221.123.255★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:34:43-171.221.123.255★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:35:02-171.221.123.255★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★05:35:26-171.221.123.255★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646593297","si":"3190","fee":"18","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★06:23:37-1.198.215.85★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"55990422a378c5cf-319a-4cb1-addb-97a260c2b95f","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646602166","si":"3233","fee":"6","char_id":"844437815035969","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:43:48-36.21.104.25★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"4282558684ec0266bf-8d2d-4f16-8943-1e955d527903","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646683206","si":"3190","fee":"6","char_id":"844429225116890","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:52:09-36.21.104.25★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"4282558684ec0266bf-8d2d-4f16-8943-1e955d527903","app":"0.0.6.18","res":"0.0.6.18","acc":"yc_1646683206","si":"3190","fee":"1","char_id":"844429225116890","sku":"com.wjgame.yxzd.tf.736430079244417834"}
