★00:26:39-223.104.173.34★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"17011275558075e09-1dd2-4744-ad7d-888244a41b5a","app":"0.0.6.26","res":"0.0.6.26","acc":"yc_1646595836","si":"3191","fee":"6","char_id":"844433520069090","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★08:52:12-171.221.123.217★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.26","res":"0.0.6.26","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★08:52:36-171.221.123.217★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.26","res":"0.0.6.26","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★08:52:54-171.221.123.217★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.26","res":"0.0.6.26","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★08:53:17-171.221.123.217★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.26","res":"0.0.6.26","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★08:53:37-171.221.123.217★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.26","res":"0.0.6.26","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★08:54:06-171.221.123.217★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.26","res":"0.0.6.26","acc":"yc_1646593297","si":"3190","fee":"18","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:27:41-60.176.228.252★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"313286029839c8d8f2-64ba-453b-a5d8-f9e00a874743","app":"0.0.6.26","res":"0.0.6.26","acc":"yc_164312239","si":"3185","fee":"3","char_id":"2814754062075149","sku":"com.test.yx.ky.736430079244417834"}
★09:28:22-60.176.228.252★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"313286029839c8d8f2-64ba-453b-a5d8-f9e00a874743","app":"0.0.6.26","res":"0.0.6.26","acc":"yc_164312239","si":"3185","fee":"6","char_id":"2814754062075149","sku":"com.test.yx.ky.736430079244417834"}
★09:28:32-60.176.228.252★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"313286029839c8d8f2-64ba-453b-a5d8-f9e00a874743","app":"0.0.6.26","res":"0.0.6.26","acc":"yc_164312239","si":"3185","fee":"30","char_id":"2814754062075149","sku":"com.test.yx.ky.736430079244417834"}
★09:28:35-60.176.228.252★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"1","pi":"11","code":"313286029839c8d8f2-64ba-453b-a5d8-f9e00a874743","app":"0.0.6.26","res":"0.0.6.26","acc":"yc_164312239","si":"3185","fee":"68","char_id":"2814754062075149","sku":"com.test.yx.ky.736430079244417834"}
