★00:04:04-180.111.243.44★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"42813727630c625d7d-cbad-43e2-a693-54541c6ac035","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646594301","si":"3190","fee":"30","char_id":"844429225101659","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★00:12:05-171.221.109.42★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★00:12:37-171.221.109.42★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★00:13:06-171.221.109.42★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646593297","si":"3190","fee":"30","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★00:13:25-171.221.109.42★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★00:13:44-171.221.109.42★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646593297","si":"3190","fee":"6","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★00:14:04-171.221.109.42★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"10738193574af5ae38-9270-474b-a337-17d946f71874","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646593297","si":"3190","fee":"18","char_id":"844429225101458","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★09:54:00-157.122.163.74★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"238114603466a934e8-31b9-4030-9530-3861020e8b75","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646596702","si":"3190","fee":"18","char_id":"844429225102573","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★10:02:38-183.14.132.48★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"4","pi":"11","code":"3673554725a3b92a5a-bee9-433a-83e4-c039a68ef761","app":"0.0.7.0","res":"0.0.7.0","acc":"yc_1646785535","si":"3260","fee":"6","char_id":"2814754062076574","sku":"com.hnxm.yixzd.736430079244417834"}
★10:07:27-183.14.132.48★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"4","pi":"11","code":"3673554725a3b92a5a-bee9-433a-83e4-c039a68ef761","app":"0.0.7.0","res":"0.0.7.0","acc":"yc_1646785535","si":"3260","fee":"6","char_id":"2814754062076574","sku":"com.hnxm.yixzd.736430079244417834"}
★10:17:15-183.14.132.48★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"4","pi":"11","code":"3673554725a3b92a5a-bee9-433a-83e4-c039a68ef761","app":"0.0.7.0","res":"0.0.7.0","acc":"yc_1646785535","si":"3260","fee":"6","char_id":"2814754062076574","sku":"com.hnxm.yixzd.736430079244417834"}
★10:17:42-183.14.132.48★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"4","pi":"11","code":"3673554725a3b92a5a-bee9-433a-83e4-c039a68ef761","app":"0.0.7.0","res":"0.0.7.0","acc":"yc_1646785535","si":"3260","fee":"6","char_id":"2814754062076574","sku":"com.hnxm.yixzd.736430079244417834"}
★11:11:20-183.14.132.48★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"4","pi":"11","code":"3673554725a3b92a5a-bee9-433a-83e4-c039a68ef761","app":"0.0.7.0","res":"0.0.7.0","acc":"yc_1646785535","si":"3260","fee":"6","char_id":"2814754062076574","sku":"com.hnxm.yixzd.736430079244417834"}
★11:12:09-183.14.132.48★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"4","pi":"11","code":"3673554725a3b92a5a-bee9-433a-83e4-c039a68ef761","app":"0.0.7.0","res":"0.0.7.0","acc":"yc_1646785535","si":"3260","fee":"648","char_id":"2814754062076574","sku":"com.hnxm.yixzd.736430079244417834"}
★11:27:29-182.118.236.28★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"853533c17415d3-a153-4fcb-8b0b-744595fd95ab","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646597508","si":"3191","fee":"30","char_id":"844433520068807","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★11:27:49-182.118.236.28★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"853533c17415d3-a153-4fcb-8b0b-744595fd95ab","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646597508","si":"3191","fee":"12","char_id":"844433520068807","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★15:58:17-182.118.236.28★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"853533c17415d3-a153-4fcb-8b0b-744595fd95ab","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646597508","si":"3191","fee":"30","char_id":"844433520068807","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★19:11:59-180.121.112.69★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"176294473891fdea90-b057-41c3-95fc-7a9d3b56bdca","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646595199","si":"3190","fee":"3","char_id":"844429225101935","sku":"com.wjgame.yxzd.tf.736430079244417834"}
★20:30:39-139.211.158.125★收到GET数据：★{"p":"I","c":"Bill","a":"createCPorderID","gi":"3","pi":"11","code":"52476032068b1da25-d054-4b77-87b2-dc33b265692f","app":"0.0.6.33","res":"0.0.6.33","acc":"yc_1646632099","si":"3233","fee":"128","char_id":"844437815040298","sku":"com.wjgame.yxzd.tf.736430079244417834"}
