★04:40:01-101.43.35.210★插入数据成功★记录时间：2024-05-16 04:40:01,新增服id：3185,新增平台id：1
★04:40:02-101.43.35.210★插入数据成功★记录时间：2024-05-16 04:40:02,新增服id：3190,新增平台id：3
★04:40:02-101.43.35.210★插入数据成功★记录时间：2024-05-16 04:40:02,新增服id：3191,新增平台id：3
★04:40:02-101.43.35.210★插入数据成功★记录时间：2024-05-16 04:40:02,新增服id：3233,新增平台id：3
★04:40:02-101.43.35.210★插入数据成功★记录时间：2024-05-16 04:40:02,新增服id：3261,新增平台id：4
★04:40:02-101.43.35.210★插入数据成功★记录时间：2024-05-16 04:40:02,新增服id：3262,新增平台id：4
★04:40:02-101.43.35.210★插入数据成功★记录时间：2024-05-16 04:40:02,新增服id：3263,新增平台id：4
★04:40:02-101.43.35.210★插入数据成功★记录时间：2024-05-16 04:40:02,新增服id：3264,新增平台id：4
★04:40:02-101.43.35.210★插入数据成功★记录时间：2024-05-16 04:40:02,新增服id：3265,新增平台id：4
★04:40:02-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:02,修改内容：1_100%,更新服id：3185,更新平台id：1,留存第几天：1
★04:40:03-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:03,修改内容：/_/,更新服id：3190,更新平台id：3,留存第几天：1
★04:40:03-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:03,修改内容：/_/,更新服id：3191,更新平台id：3,留存第几天：1
★04:40:03-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:03,修改内容：/_/,更新服id：3233,更新平台id：3,留存第几天：1
★04:40:03-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:03,修改内容：/_/,更新服id：3261,更新平台id：4,留存第几天：1
★04:40:03-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:03,修改内容：/_/,更新服id：3262,更新平台id：4,留存第几天：1
★04:40:03-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:03,修改内容：1_33.33%,更新服id：3263,更新平台id：4,留存第几天：1
★04:40:03-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:03,修改内容：1_7.69%,更新服id：3264,更新平台id：4,留存第几天：1
★04:40:03-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:03,修改内容：204_38.2%,更新服id：3265,更新平台id：4,留存第几天：1
★04:40:03-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:03,修改内容：/_/,更新服id：3185,更新平台id：1,留存第几天：2
★04:40:04-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:04,修改内容：/_/,更新服id：3190,更新平台id：3,留存第几天：2
★04:40:04-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:04,修改内容：/_/,更新服id：3191,更新平台id：3,留存第几天：2
★04:40:04-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:04,修改内容：/_/,更新服id：3233,更新平台id：3,留存第几天：2
★04:40:04-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:04,修改内容：/_/,更新服id：3261,更新平台id：4,留存第几天：2
★04:40:04-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:04,修改内容：/_/,更新服id：3262,更新平台id：4,留存第几天：2
★04:40:04-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:04,修改内容：4_20%,更新服id：3263,更新平台id：4,留存第几天：2
★04:40:04-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:04,修改内容：12_25.53%,更新服id：3264,更新平台id：4,留存第几天：2
★04:40:04-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:04,修改内容：74_35.92%,更新服id：3265,更新平台id：4,留存第几天：2
★04:40:04-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:04,修改内容：/_/,更新服id：3185,更新平台id：1,留存第几天：3
★04:40:05-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:05,修改内容：/_/,更新服id：3190,更新平台id：3,留存第几天：3
★04:40:05-101.43.35.210★更新成功★记录时间：2024-05-16 04:40:05,修改内容：/_/,更新服id：3191,更新平台id：3,留存第几天：3
