★04:25:01-106.15.66.142★插入数据成功★记录时间：2023-03-22 04:25:01,新增服id：3223,新增平台id：1
★04:25:01-106.15.66.142★更新成功★记录时间：2023-03-22 04:25:01,修改内容：0_0%,更新服id：3223,更新平台id：1,留存第几天：1
★04:25:01-106.15.66.142★更新成功★记录时间：2023-03-22 04:25:01,修改内容：/_/,更新服id：3223,更新平台id：1,留存第几天：2
★04:25:02-106.15.66.142★更新成功★记录时间：2023-03-22 04:25:02,修改内容：0_0%,更新服id：3223,更新平台id：1,留存第几天：3
★04:25:02-106.15.66.142★生成结束★记录时间：2023-03-22 04:25:02RetentionCharTaskModel
★04:30:02-106.15.66.142★更新成功★记录时间：2023-03-22 04:30:02,修改内容：0_0%,更新服id：3223,更新平台id：1,留存第几天：4
★04:30:02-106.15.66.142★更新成功★记录时间：2023-03-22 04:30:02,修改内容：/_/,更新服id：3223,更新平台id：1,留存第几天：5
★04:30:02-106.15.66.142★更新成功★记录时间：2023-03-22 04:30:02,修改内容：/_/,更新服id：3223,更新平台id：1,留存第几天：6
★04:30:02-106.15.66.142★更新成功★记录时间：2023-03-22 04:30:02,修改内容：/_/,更新服id：3223,更新平台id：1,留存第几天：7
★04:30:02-106.15.66.142★生成结束★记录时间：2023-03-22 04:30:02RetentionCharTaskModel
★04:34:44-220.196.160.84★更新成功★记录时间：2023-03-22 04:34:44,修改内容：0_0%,更新服id：3223,更新平台id：1,留存第几天：1
★04:34:44-220.196.160.84★更新成功★记录时间：2023-03-22 04:34:44,修改内容：/_/,更新服id：3223,更新平台id：1,留存第几天：2
★04:34:44-220.196.160.84★更新成功★记录时间：2023-03-22 04:34:44,修改内容：0_0%,更新服id：3223,更新平台id：1,留存第几天：3
★04:34:44-220.196.160.84★生成结束★记录时间：2023-03-22 04:34:44RetentionCharTaskModel
★04:35:01-106.15.66.142★更新成功★记录时间：2023-03-22 04:35:01,修改内容：/_/,更新服id：3223,更新平台id：1,留存第几天：14
★04:35:01-106.15.66.142★更新成功★记录时间：2023-03-22 04:35:01,修改内容：0_0%,更新服id：3223,更新平台id：1,留存第几天：29
★04:35:01-106.15.66.142★更新成功★记录时间：2023-03-22 04:35:01,修改内容：/_/,更新服id：3223,更新平台id：1,留存第几天：44
★04:35:01-106.15.66.142★更新成功★记录时间：2023-03-22 04:35:01,修改内容：/_/,更新服id：3223,更新平台id：1,留存第几天：59
★04:35:01-106.15.66.142★生成结束★记录时间：2023-03-22 04:35:01RetentionCharTaskModel
