★04:55:01-101.43.35.210★插入数据成功★记录时间：2024-05-18 04:55:01,新增服id：3185,新增平台id：1
★04:55:02-101.43.35.210★插入数据成功★记录时间：2024-05-18 04:55:02,新增服id：3190,新增平台id：3
★04:55:02-101.43.35.210★插入数据成功★记录时间：2024-05-18 04:55:02,新增服id：3191,新增平台id：3
★04:55:02-101.43.35.210★插入数据成功★记录时间：2024-05-18 04:55:02,新增服id：3233,新增平台id：3
★04:55:02-101.43.35.210★插入数据成功★记录时间：2024-05-18 04:55:02,新增服id：3261,新增平台id：4
★04:55:02-101.43.35.210★插入数据成功★记录时间：2024-05-18 04:55:02,新增服id：3262,新增平台id：4
★04:55:02-101.43.35.210★插入数据成功★记录时间：2024-05-18 04:55:02,新增服id：3263,新增平台id：4
★04:55:02-101.43.35.210★插入数据成功★记录时间：2024-05-18 04:55:02,新增服id：3264,新增平台id：4
★04:55:02-101.43.35.210★插入数据成功★记录时间：2024-05-18 04:55:02,新增服id：3265,新增平台id：4
★04:55:02-101.43.35.210★插入数据成功★记录时间：2024-05-18 04:55:02,新增服id：3266,新增平台id：4
★04:55:02-101.43.35.210★更新成功★记录时间：2024-05-18 04:55:02,修改内容：1_100%,更新服id：3185,更新平台id：1,留存第几天：1
★04:55:03-101.43.35.210★更新成功★记录时间：2024-05-18 04:55:03,修改内容：/_/,更新服id：3190,更新平台id：3,留存第几天：1
★04:55:03-101.43.35.210★更新成功★记录时间：2024-05-18 04:55:03,修改内容：/_/,更新服id：3191,更新平台id：3,留存第几天：1
★04:55:03-101.43.35.210★更新成功★记录时间：2024-05-18 04:55:03,修改内容：/_/,更新服id：3233,更新平台id：3,留存第几天：1
★04:55:03-101.43.35.210★更新成功★记录时间：2024-05-18 04:55:03,修改内容：2_100%,更新服id：3261,更新平台id：4,留存第几天：1
★04:55:03-101.43.35.210★更新成功★记录时间：2024-05-18 04:55:03,修改内容：/_/,更新服id：3262,更新平台id：4,留存第几天：1
★04:55:03-101.43.35.210★更新成功★记录时间：2024-05-18 04:55:03,修改内容：/_/,更新服id：3263,更新平台id：4,留存第几天：1
★04:55:03-101.43.35.210★更新成功★记录时间：2024-05-18 04:55:03,修改内容：6_40%,更新服id：3264,更新平台id：4,留存第几天：1
